"","V1"
"168","Ammodillus imbellis"
"169","Ammodorcas clarkei"
"170","Ammospermophilus harrisii"
"171","Ammospermophilus interpres"
"172","Ammospermophilus leucurus"
"173","Ammospermophilus nelsoni"
"174","Ammotragus lervia"
"175","Amorphochilus schnablii"
"176","Amphinectomys savamis"
"177","Anathana ellioti"
"178","Andalgalomys olrogi"
"179","Andalgalomys pearsoni"
"180","Andinomys edax"
"181","Anisomys imitator"
"182","Anomalurus beecrofti"
"183","Anomalurus derbianus"
"184","Anomalurus pelii"
"185","Anomalurus pusillus"
"186","Anonymomys mindorensis"
"187","Anotomys leander"
"188","Anoura aequatoris"
"189","Anoura cadenai"
"190","Anoura caudifer"
"191","Anoura cultrata"
"192","Anoura fistulata"
"193","Anoura geoffroyi"
"194","Anoura latidens"
"195","Anoura luismanueli"
"196","Anoura peruana"
"197","Anourosorex assamensis"
"198","Anourosorex schmidi"
"199","Anourosorex squamipes"
"200","Anourosorex yamashinai"
"201","Antechinomys laniger"
"202","Antechinus adustus"
"203","Antechinus agilis"
"204","Antechinus bellus"
"205","Antechinus flavipes"
"206","Antechinus godmani"
"207","Antechinus leo"
"208","Antechinus minimus"
"209","Antechinus stuartii"
"210","Antechinus subtropicus"
"211","Antechinus swainsonii"
"212","Anthops ornatus"
"213","Antidorcas marsupialis"
"214","Antilocapra americana"
"215","Antilope cervicapra"
"216","Antrozous pallidus"
"217","Aonyx capensis"
"218","Aonyx cinereus"
"219","Aonyx congicus"
"220","Aotus azarae"
"221","Aotus brumbacki"
"222","Aotus griseimembra"
"223","Aotus jorgehernandezi"
"224","Aotus lemurinus"
"225","Aotus miconax"
"226","Aotus nancymaae"
"227","Aotus nigriceps"
"228","Aotus trivirgatus"
"229","Aotus vociferans"
"230","Aotus zonalis"
"231","Aplodontia rufa"
"232","Apodemus agrarius"
"233","Apodemus alpicola"
"234","Apodemus argenteus"
"235","Apodemus avicennicus"
"236","Apodemus chevrieri"
"237","Apodemus draco"
"238","Apodemus epimelas"
"239","Apodemus flavicollis"
"240","Apodemus gurkha"
"241","Apodemus hyrcanicus"
"242","Apodemus latronum"
"243","Apodemus mystacinus"
"244","Apodemus pallipes"
"245","Apodemus peninsulae"
"246","Apodemus ponticus"
"247","Apodemus rusiges"
"248","Apodemus semotus"
"249","Apodemus speciosus"
"250","Apodemus sylvaticus"
"251","Apodemus uralensis"
"252","Apodemus witherbyi"
"253","Apomys abrae"
"254","Apomys aurorae"
"255","Apomys banahao"
"256","Apomys brownorum"
"257","Apomys camiguinensis"
"258","Apomys datae"
"259","Apomys gracilirostris"
"260","Apomys hylocetes"
"261","Apomys insignis"
"262","Apomys iridensis"
"263","Apomys littoralis"
"264","Apomys lubangensis"
"265","Apomys magnus"
"266","Apomys microdon"
"267","Apomys minganensis"
"268","Apomys musculus"
"269","Apomys sacobianus"
"270","Apomys sierrae"
"271","Apomys zambalensis"
"272","Aproteles bulmerae"
"273","Arabitragus jayakari"
"274","Arborimus albipes"
"275","Arborimus longicaudus"
"276","Arborimus pomo"
"277","Archboldomys luzonensis"
"278","Archboldomys maximus"
"279","Arctictis binturong"
"280","Arctocebus aureus"
"281","Arctocebus calabarensis"
"282","Arctogalidia trivirgata"
"283","Arctonyx albogularis"
"284","Arctonyx collaris"
"285","Arctonyx hoevenii"
"286","Ardops nichollsi"
"287","Arielulus aureocollaris"
"288","Arielulus circumdatus"
"289","Arielulus cuprosus"
"290","Arielulus societatis"
"291","Arielulus torquatus"
"292","Ariteus flavescens"
"293","Artibeus aequatorialis"
"294","Artibeus amplus"
"295","Artibeus concolor"
"296","Artibeus fimbriatus"
"297","Artibeus fraterculus"
"298","Artibeus hirsutus"
"299","Artibeus inopinatus"
"300","Artibeus jamaicensis"
"301","Artibeus lituratus"
"302","Artibeus obscurus"
"303","Artibeus planirostris"
"304","Artibeus schwartzi"
"305","Arvicanthis abyssinicus"
"306","Arvicanthis ansorgei"
"307","Arvicanthis blicki"
"308","Arvicanthis nairobae"
"309","Arvicanthis neumanni"
"310","Arvicanthis niloticus"
"311","Arvicanthis rufinus"
"312","Arvicola amphibius"
"313","Arvicola sapidus"
"314","Arvicola scherman"
"315","Asellia italosomalica"
"316","Asellia patrizii"
"317","Asellia tridens"
"318","Aselliscus stoliczkanus"
"319","Aselliscus tricuspidatus"
"320","Atelerix albiventris"
"321","Atelerix algirus"
"322","Atelerix frontalis"
"323","Atelerix sclateri"
"324","Ateles belzebuth"
"325","Ateles chamek"
"326","Ateles fusciceps"
"327","Ateles geoffroyi"
"328","Ateles hybridus"
"329","Ateles marginatus"
"330","Ateles paniscus"
"331","Atelocynus microtis"
"332","Atherurus africanus"
"333","Atherurus macrourus"
"334","Atilax paludinosus"
"335","Atlantoxerus getulus"
"336","Atopogale cubana"
"337","Auliscomys boliviensis"
"338","Auliscomys pictus"
"339","Auliscomys sublimis"
"340","Austronomus australis"
"341","Austronomus kuboriensis"
"342","Avahi betsileo"
"343","Avahi cleesei"
"344","Avahi laniger"
"345","Avahi meridionalis"
"346","Avahi mooreorum"
"347","Avahi occidentalis"
"348","Avahi peyrierasi"
"349","Avahi ramanantsoavanai"
"350","Avahi unicolor"
"351","Axis axis"
"352","Axis calamianensis"
"353","Axis kuhlii"
"354","Axis porcinus"
"355","Babyrousa babyrussa"
"356","Babyrousa celebensis"
"357","Babyrousa togeanensis"
"358","Baeodon alleni"
"359","Baeodon gracilis"
"360","Baiomys musculus"
"361","Baiomys taylori"
"362","Baiyankamys habbema"
"363","Baiyankamys shawmayeri"
"364","Balantiopteryx infusca"
"365","Balantiopteryx io"
"366","Balantiopteryx plicata"
"367","Balionycteris maculata"
"368","Bandicota bengalensis"
"369","Bandicota indica"
"370","Bandicota savilei"
"371","Barbastella barbastellus"
"372","Barbastella leucomelas"
"373","Bassaricyon alleni"
"374","Bassaricyon gabbii"
"375","Bassaricyon medius"
"376","Bassaricyon neblina"
"377","Bassariscus astutus"
"378","Bassariscus sumichrasti"
"379","Bathyergus janetta"
"380","Bathyergus suillus"
"381","Batomys dentatus"
"382","Batomys granti"
"383","Batomys hamiguitan"
"384","Batomys russatus"
"385","Batomys salomonseni"
"386","Batomys uragon"
"387","Bauerus dubiaquercus"
"388","Bdeogale crassicauda"
"389","Bdeogale jacksoni"
"390","Bdeogale nigripes"
"391","Bdeogale omnivora"
"392","Beamys hindei"
"393","Beatragus hunteri"
"394","Belomys pearsonii"
"395","Berylmys berdmorei"
"396","Berylmys bowersi"
"397","Berylmys mackenziei"
"398","Berylmys manipulus"
"399","Bettongia gaimardi"
"400","Bettongia lesueur"
"401","Bettongia penicillata"
"402","Bettongia tropica"
"403","Bibimys chacoensis"
"404","Bibimys labiosus"
"405","Bibimys torresi"
"406","Bison bison"
"407","Bison bonasus"
"408","Biswamoyopterus biswasi"
"409","Biswamoyopterus laoensis"
"410","Blanfordimys afghanus"
"411","Blanfordimys bucharensis"
"412","Blarina brevicauda"
"413","Blarina carolinensis"
"414","Blarina hylophaga"
"415","Blarinella griselda"
"416","Blarinella quadraticauda"
"417","Blarinella wardi"
"418","Blarinomys breviceps"
"419","Blastocerus dichotomus"
"420","Bos gaurus"
"421","Bos javanicus"
"422","Bos mutus"
"423","Bos sauveli"
"424","Boselaphus tragocamelus"
"425","Brachiones przewalskii"
"426","Brachylagus idahoensis"
"427","Brachyphylla cavernarum"
"428","Brachyphylla nana"
"429","Brachytarsomys albicauda"
"430","Brachytarsomys villosa"
"431","Brachyteles arachnoides"
"432","Brachyteles hypoxanthus"
"433","Brachyuromys betsileoensis"
"434","Brachyuromys ramirohitra"
"435","Bradypus pygmaeus"
"436","Bradypus torquatus"
"437","Bradypus tridactylus"
"438","Bradypus variegatus"
"439","Brassomys albidens"
"440","Brucepattersonius griserufescens"
"441","Brucepattersonius guarani"
"442","Brucepattersonius igniventris"
"443","Brucepattersonius iheringi"
"444","Brucepattersonius misionensis"
"445","Brucepattersonius paradisus"
"446","Brucepattersonius soricinus"
"447","Bubalus arnee"
"448","Bubalus depressicornis"
"449","Bubalus mindorensis"
"450","Bubalus quarlesi"
"451","Budorcas taxicolor"
"452","Bullimus bagobus"
"453","Bullimus gamay"
"454","Bullimus luzonicus"
"455","Bunolagus monticularis"
"456","Bunomys andrewsi"
"457","Bunomys chrysocomus"
"458","Bunomys coelestis"
"459","Bunomys fratrorum"
"460","Bunomys karokophilus"
"461","Bunomys penitus"
"462","Bunomys prolatus"
"463","Bunomys torajae"
"464","Burramys parvus"
"465","Cacajao calvus"
"466","Cacajao hosomi"
"467","Cacajao melanocephalus"
"468","Caenolestes caniventer"
"469","Caenolestes condorensis"
"470","Caenolestes convelatus"
"471","Caenolestes fuliginosus"
"472","Caenolestes sangay"
"473","Calcochloris obtusirostris"
"474","Calcochloris tytonis"
"475","Callibella humilis"
"476","Callicebus barbarabrownae"
"477","Callicebus coimbrai"
"478","Callicebus melanochir"
"479","Callicebus nigrifrons"
"480","Callicebus personatus"
"481","Callimico goeldii"
"482","Callistomys pictus"
"483","Callithrix aurita"
"484","Callithrix flaviceps"
"485","Callithrix geoffroyi"
"486","Callithrix jacchus"
"487","Callithrix kuhlii"
"488","Callithrix penicillata"
"489","Callosciurus adamsi"
"490","Callosciurus albescens"
"491","Callosciurus baluensis"
"492","Callosciurus caniceps"
"493","Callosciurus erythraeus"
"494","Callosciurus finlaysonii"
"495","Callosciurus inornatus"
"496","Callosciurus melanogaster"
"497","Callosciurus nigrovittatus"
"498","Callosciurus notatus"
"499","Callosciurus orestes"
"500","Callosciurus phayrei"
"501","Callosciurus prevostii"
"502","Callosciurus pygerythrus"
"503","Callosciurus quinquestriatus"
"504","Callospermophilus lateralis"
"505","Callospermophilus madrensis"
"506","Callospermophilus saturatus"
"507","Calomys boliviae"
"508","Calomys callidus"
"509","Calomys callosus"
"510","Calomys expulsus"
"511","Calomys fecundus"
"512","Calomys hummelincki"
"513","Calomys laucha"
"514","Calomys lepidus"
"515","Calomys musculinus"
"516","Calomys sorellus"
"517","Calomys tener"
"518","Calomys tocantinsi"
"519","Calomys venustus"
"520","Calomyscus bailwardi"
"521","Calomyscus baluchi"
"522","Calomyscus elburzensis"
"523","Calomyscus grandis"
"524","Calomyscus hotsoni"
"525","Calomyscus mystax"
"526","Calomyscus tsolovi"
"527","Calomyscus urartensis"
"528","Caluromys derbianus"
"529","Caluromys lanatus"
"530","Caluromys philander"
"531","Caluromysiops irrupta"
"532","Camelus ferus"
"533","Canis adustus"
"534","Canis latrans"
"535","Canis lupaster"
"536","Canis lupus"
"537","Canis mesomelas"
"538","Canis rufus"
"539","Canis simensis"
"540","Cannomys badius"
"541","Cansumys canus"
"542","Capra aegagrus"
"543","Capra caucasica"
"544","Capra cylindricornis"
"545","Capra falconeri"
"546","Capra ibex"
"547","Capra nubiana"
"548","Capra pyrenaica"
"549","Capra sibirica"
"550","Capra walie"
"551","Capreolus capreolus"
"552","Capreolus pygargus"
"553","Capricornis crispus"
"554","Capricornis milneedwardsii"
"555","Capricornis rubidus"
"556","Capricornis sumatraensis"
"557","Capricornis swinhoei"
"558","Capricornis thar"
"559","Caprolagus hispidus"
"560","Capromys pilorides"
"561","Caracal aurata"
"562","Caracal caracal"
"563","Cardiocranius paradoxus"
"564","Cardioderma cor"
"565","Carollia benkeithi"
"566","Carollia brevicauda"
"567","Carollia castanea"
"568","Carollia manu"
"569","Carollia monohernandezi"
"570","Carollia perspicillata"
"571","Carollia sowelli"
"572","Carollia subrufa"
"573","Carpitalpa arendsi"
"574","Carpomys melanurus"
"575","Carpomys phaeurus"
"576","Carterodon sulcidens"
"577","Caryomys eva"
"578","Caryomys inez"
"579","Casinycteris argynnis"
"580","Castor canadensis"
"581","Castor fiber"
"582","Catagonus wagneri"
"583","Catopuma badia"
"584","Catopuma temminckii"
"585","Cavia aperea"
"586","Cavia fulgida"
"587","Cavia intermedia"
"588","Cavia magna"
"589","Cavia patzelti"
"590","Cavia tschudii"
"591","Cebuella pygmaea"
"592","Cebus albifrons"
"593","Cebus castaneus"
"594","Cebus kaapori"
"595","Centronycteris centralis"
"596","Centronycteris maximiliani"
"597","Centurio senex"
"598","Cephalophus adersi"
"599","Cephalophus callipygus"
"600","Cephalophus dorsalis"
"601","Cephalophus harveyi"
"602","Cephalophus jentinki"
"603","Cephalophus leucogaster"
"604","Cephalophus natalensis"
"605","Cephalophus niger"
"606","Cephalophus nigrifrons"
"607","Cephalophus ogilbyi"
"608","Cephalophus rufilatus"
"609","Cephalophus silvicultor"
"610","Cephalophus spadix"
"611","Cephalophus weynsi"
"612","Cephalophus zebra"
"613","Ceratotherium simum"
"614","Cercartetus caudatus"
"615","Cercartetus concinnus"
"616","Cercartetus lepidus"
"617","Cercartetus nanus"
"618","Cercocebus agilis"
"619","Cercocebus atys"
"620","Cercocebus chrysogaster"
"621","Cercocebus galeritus"
"622","Cercocebus lunulatus"
"623","Cercocebus sanjei"
"624","Cercocebus torquatus"
"625","Cercopithecus ascanius"
"626","Cercopithecus campbelli"
"627","Cercopithecus cephus"
"628","Cercopithecus denti"
"629","Cercopithecus diana"
"630","Cercopithecus dryas"
"631","Cercopithecus erythrogaster"
"632","Cercopithecus erythrotis"
"633","Cercopithecus hamlyni"
"634","Cercopithecus lowei"
"635","Cercopithecus mitis"
"636","Cercopithecus mona"
"637","Cercopithecus neglectus"
"638","Cercopithecus nictitans"
"639","Cercopithecus petaurista"
"640","Cercopithecus roloway"
"641","Cercopithecus sclateri"
"642","Cerdocyon thous"
"643","Cerradomys maracajuensis"
"644","Cerradomys marinhus"
"645","Cerradomys scotti"
"646","Cerradomys subflavus"
"647","Cervus albirostris"
"648","Cervus canadensis"
"649","Cervus elaphus"
"650","Cervus hanglu"
"651","Cervus nippon"
"652","Chacodelphys formosa"
"653","Chaerephon aloysiisabaudiae"
"654","Chaerephon ansorgei"
"655","Chaerephon atsinanana"
"656","Chaerephon bemmeleni"
"657","Chaerephon bivittatus"
"658","Chaerephon bregullae"
"659","Chaerephon chapini"
"660","Chaerephon gallagheri"
"661","Chaerephon jobensis"
"662","Chaerephon jobimena"
"663","Chaerephon johorensis"
"664","Chaerephon major"
"665","Chaerephon nigeriae"
"666","Chaerephon plicatus"
"667","Chaerephon pumilus"
"668","Chaerephon russatus"
"669","Chaerephon solomonis"
"670","Chaerephon tomensis"
"671","Chaetocauda sichuanensis"
"672","Chaetodipus ammophilus"
"673","Chaetodipus arenarius"
"674","Chaetodipus artus"
"675","Chaetodipus baileyi"
"676","Chaetodipus californicus"
"677","Chaetodipus eremicus"
"678","Chaetodipus fallax"
"679","Chaetodipus formosus"
"680","Chaetodipus goldmani"
"681","Chaetodipus hispidus"
"682","Chaetodipus intermedius"
"683","Chaetodipus lineatus"
"684","Chaetodipus nelsoni"
"685","Chaetodipus penicillatus"
"686","Chaetodipus pernix"
"687","Chaetodipus rudinoris"
"688","Chaetodipus siccus"
"689","Chaetodipus spinatus"
"690","Chaetomys subspinosus"
"691","Chalinolobus dwyeri"
"692","Chalinolobus gouldii"
"693","Chalinolobus morio"
"694","Chalinolobus neocaledonicus"
"695","Chalinolobus nigrogriseus"
"696","Chalinolobus picatus"
"697","Chalinolobus tuberculatus"
"698","Cheirogaleus crossleyi"
"699","Cheirogaleus major"
"700","Cheirogaleus medius"
"701","Cheirogaleus minusculus"
"702","Cheirogaleus sibreei"
"703","Cheiromeles parvidens"
"704","Cheiromeles torquatus"
"705","Chelemys macronyx"
"706","Chelemys megalonyx"
"707","Cheracebus lucifer"
"708","Cheracebus lugens"
"709","Cheracebus medemi"
"710","Cheracebus purinus"
"711","Cheracebus regulus"
"712","Cheracebus torquatus"
"713","Chibchanomys orcesi"
"714","Chibchanomys trichotis"
"715","Chilomys instans"
"716","Chilonatalus macer"
"717","Chilonatalus micropus"
"718","Chilonatalus tumidifrons"
"719","Chimarrogale hantu"
"720","Chimarrogale himalayica"
"721","Chimarrogale phaeura"
"722","Chimarrogale platycephalus"
"723","Chimarrogale styani"
"724","Chimarrogale sumatrana"
"725","Chinchilla chinchilla"
"726","Chinchilla lanigera"
"727","Chinchillula sahamae"
"728","Chionomys gud"
"729","Chionomys nivalis"
"730","Chionomys roberti"
"731","Chiroderma doriae"
"732","Chiroderma improvisum"
"733","Chiroderma salvini"
"734","Chiroderma trinitatum"
"735","Chiroderma villosum"
"736","Chiroderma vizottoi"
"737","Chiromyscus chiropus"
"738","Chironax melanocephalus"
"739","Chironectes minimus"
"740","Chiropodomys calamianensis"
"741","Chiropodomys gliroides"
"742","Chiropodomys karlkoopmani"
"743","Chiropodomys major"
"744","Chiropodomys muroides"
"745","Chiropodomys pusillus"
"746","Chiropotes albinasus"
"747","Chiropotes chiropotes"
"748","Chiropotes satanas"
"749","Chiropotes utahickae"
"750","Chiruromys forbesi"
"751","Chiruromys lamia"
"752","Chiruromys vates"
"753","Chlorocebus aethiops"
"754","Chlorocebus cynosuros"
"755","Chlorocebus djamdjamensis"
"756","Chlorocebus pygerythrus"
"757","Chlorocebus sabaeus"
"758","Chlorocebus tantalus"
"759","Chlorotalpa duthieae"
"760","Chlorotalpa sclateri"
"761","Chodsigoa caovansunga"
"762","Chodsigoa hypsibia"
"763","Chodsigoa lamula"
"764","Chodsigoa parca"
"765","Chodsigoa parva"
"766","Chodsigoa salenskii"
"767","Chodsigoa smithii"
"768","Chodsigoa sodalis"
"769","Choeroniscus godmani"
"770","Choeroniscus minor"
"771","Choeroniscus periosus"
"772","Choeronycteris mexicana"
"773","Choeropsis liberiensis"
"774","Choloepus didactylus"
"775","Choloepus hoffmanni"
"776","Chrotogale owstoni"
"777","Chrotomys gonzalesi"
"778","Chrotomys mindorensis"
"779","Chrotomys sibuyanensis"
"780","Chrotomys silaceus"
"781","Chrotomys whiteheadi"
"782","Chrotopterus auritus"
"783","Chrysochloris asiatica"
"784","Chrysochloris stuhlmanni"
"785","Chrysochloris visagiei"
"786","Chrysocyon brachyurus"
"787","Chrysospalax trevelyani"
"788","Chrysospalax villosus"
"789","Civettictis civetta"
"790","Cloeotis percivali"
"791","Clyomys laticeps"
"792","Coccymys kirrhos"
"793","Coccymys ruemmleri"
"794","Coccymys shawmayeri"
"795","Coelops frithii"
"796","Coelops robinsoni"
"797","Coelops robinsoni ssp. hirsutus"
"798","Coendou baturitensis"
"799","Coendou bicolor"
"800","Coendou ichillus"
"801","Coendou insidiosus"
"802","Coendou melanurus"
"803","Coendou mexicanus"
"804","Coendou nycthemera"
"805","Coendou prehensilis"
"806","Coendou pruinosus"
"807","Coendou quichua"
"808","Coendou roosmalenorum"
"809","Coendou rufescens"
"810","Coendou speratus"
"811","Coendou spinosus"
"812","Coendou vestitus"
"813","Coleura afra"
"814","Coleura kibomalandy"
"815","Coleura seychellensis"
"816","Colobus angolensis"
"817","Colobus guereza"
"818","Colobus polykomos"
"819","Colobus satanas"
"820","Colobus vellerosus"
"821","Colomys goslingi"
"822","Condylura cristata"
"823","Conepatus chinga"
"824","Conepatus humboldtii"
"825","Conepatus leuconotus"
"826","Conepatus semistriatus"
"827","Congosorex phillipsorum"
"828","Congosorex polli"
"829","Congosorex verheyeni"
"830","Conilurus penicillatus"
"831","Connochaetes gnou"
"832","Connochaetes taurinus"
"833","Cormura brevirostris"
"834","Corynorhinus mexicanus"
"835","Corynorhinus rafinesquii"
"836","Corynorhinus townsendii"
"837","Craseonycteris thonglongyai"
"838","Crateromys australis"
"839","Crateromys heaneyi"
"840","Crateromys paulus"
"841","Crateromys schadenbergi"
"842","Cratogeomys castanops"
"843","Cratogeomys fulvescens"
"844","Cratogeomys fumosus"
"845","Cratogeomys goldmani"
"846","Cratogeomys merriami"
"847","Cratogeomys perotensis"
"848","Cratogeomys planiceps"
"849","Cremnomys cutchicus"
"850","Cremnomys elvira"
"851","Cricetomys ansorgei"
"852","Cricetomys emini"
"853","Cricetomys gambianus"
"854","Cricetulus alticola"
"855","Cricetulus barabensis"
"856","Cricetulus kamensis"
"857","Cricetulus lama"
"858","Cricetulus longicaudatus"
"859","Cricetulus migratorius"
"860","Cricetulus sokolovi"
"861","Cricetulus tibetanus"
"862","Cricetus cricetus"
"863","Crocidura absconditus"
"864","Crocidura afeworkbekelei"
"865","Crocidura aleksandrisi"
"866","Crocidura allex"
"867","Crocidura andamanensis"
"868","Crocidura annamitensis"
"869","Crocidura ansellorum"
"870","Crocidura arabica"
"871","Crocidura arispa"
"872","Crocidura armenica"
"873","Crocidura attenuata"
"874","Crocidura attila"
"875","Crocidura baileyi"
"876","Crocidura baluensis"
"877","Crocidura batakorum"
"878","Crocidura batesi"
"879","Crocidura beatus"
"880","Crocidura beccarii"
"881","Crocidura bottegi"
"882","Crocidura bottegoides"
"883","Crocidura brunnea"
"884","Crocidura buettikoferi"
"885","Crocidura caliginea"
"886","Crocidura canariensis"
"887","Crocidura caspica"
"888","Crocidura cinderella"
"889","Crocidura congobelgica"
"890","Crocidura cranbrooki"
"891","Crocidura crenata"
"892","Crocidura crossei"
"893","Crocidura cyanea"
"894","Crocidura denti"
"895","Crocidura desperata"
"896","Crocidura dhofarensis"
"897","Crocidura dolichura"
"898","Crocidura douceti"
"899","Crocidura dsinezumi"
"900","Crocidura eburnea"
"901","Crocidura eisentrauti"
"902","Crocidura elgonius"
"903","Crocidura elongata"
"904","Crocidura erica"
"905","Crocidura fingui"
"906","Crocidura fischeri"
"907","Crocidura flavescens"
"908","Crocidura floweri"
"909","Crocidura foetida"
"910","Crocidura foxi"
"911","Crocidura fuliginosa"
"912","Crocidura fulvastra"
"913","Crocidura fumosa"
"914","Crocidura fuscomurina"
"915","Crocidura gathornei"
"916","Crocidura glassi"
"917","Crocidura gmelini"
"918","Crocidura goliath"
"919","Crocidura gracilipes"
"920","Crocidura grandiceps"
"921","Crocidura grandis"
"922","Crocidura grassei"
"923","Crocidura grayi"
"924","Crocidura greenwoodi"
"925","Crocidura guy"
"926","Crocidura harenna"
"927","Crocidura hikmiya"
"928","Crocidura hildegardeae"
"929","Crocidura hilliana"
"930","Crocidura hirta"
"931","Crocidura hispida"
"932","Crocidura horsfieldii"
"933","Crocidura hutanis"
"934","Crocidura indochinensis"
"935","Crocidura jacksoni"
"936","Crocidura jenkinsi"
"937","Crocidura jouvenetae"
"938","Crocidura katinka"
"939","Crocidura kivuana"
"940","Crocidura lamottei"
"941","Crocidura lanosa"
"942","Crocidura lasiura"
"943","Crocidura latona"
"944","Crocidura lea"
"945","Crocidura lepidura"
"946","Crocidura leucodon"
"947","Crocidura levicula"
"948","Crocidura littoralis"
"949","Crocidura longipes"
"950","Crocidura lucina"
"951","Crocidura ludia"
"952","Crocidura luna"
"953","Crocidura lusitania"
"954","Crocidura lwiroensis"
"955","Crocidura macarthuri"
"956","Crocidura macmillani"
"957","Crocidura macowi"
"958","Crocidura malayana"
"959","Crocidura manengubae"
"960","Crocidura maquassiensis"
"961","Crocidura mariquensis"
"962","Crocidura maurisca"
"963","Crocidura maxi"
"964","Crocidura mdumai"
"965","Crocidura mindorus"
"966","Crocidura miya"
"967","Crocidura monax"
"968","Crocidura monticola"
"969","Crocidura montis"
"970","Crocidura munissii"
"971","Crocidura muricauda"
